what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.7",1406133564471
java.vendor,sysinfo,,,"Oracle Corporation",1406133564471
java.version,sysinfo,,,"1.7.0_01",1406133564471
java.vm.info,sysinfo,,,"mixed mode",1406133564471
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1406133564471
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1406133564471
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1406133564471
java.vm.specification.version,sysinfo,,,"1.7",1406133564471
java.vm.vendor,sysinfo,,,"Oracle Corporation",1406133564471
java.vm.version,sysinfo,,,"21.1-b02",1406133564471
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1406133564657
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1406133564754
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1406133564908
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1406133565039
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1406133565138
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1406133565141
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1406133565144
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1406133565150
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1406133565231
started,bundle,com.google.gdt.eclipse.drive,3.5.1.v201312301719-rel-r37,"com.google.gdt.eclipse.drive",1406133566014
started,bundle,com.google.gwt.eclipse.core,3.5.1.v201312301719-rel-r37,"com.google.gwt.eclipse.core",1406133568382
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1406133612636
